,upc,sku,
781,8.89561E+11,282264679,1
782,8.89895E+11,0,0
783,8.89955E+11,287619169,1
784,8.899E+11,0,0
785,6.18997E+11,0,0
786,8.84116E+11,0,0
787,8.88793E+11,285920153,1
788,22265877722,276241596,1
789,8.88863E+11,285729090,1
790,8.89661E+11,287026885,1
791,8.86228E+11,277228157,1
792,7.35858E+11,276491475,1
793,8.89349E+11,0,0
794,8.89894E+11,0,0
795,8.84116E+11,292335801,1
796,8.88863E+11,282264516,1
797,8.88182E+11,0,0
798,8.87899E+11,260974724,1
799,8.89894E+11,0,0
800,8.84116E+11,291740473,1
801,8.87899E+11,260974755,1
802,8.41161E+11,0,0
803,7.15408E+11,0,0
804,8.86228E+11,285917702,1
805,8.88182E+11,0,0
806,8.89899E+11,0,0
807,8.89234E+11,277654030,1
808,7.25184E+11,0,0
809,2.22659E+11,270481138,1
810,8.84116E+11,284199978,1
811,8.89661E+11,0,0
812,6.18997E+11,0,0
813,8.89661E+11,292342176,1
814,6.40627E+11,0,0
815,8.89895E+11,0,0
816,8.88864E+11,294033462,1
817,8.88863E+11,287003530,1
818,8.86228E+11,271382058,1
819,1.90152E+11,0,0
820,8.88863E+11,288389781,1
821,8.88863E+11,288389819,1
822,8.88182E+11,0,0
823,8.0194E+11,0,0
824,8.89894E+11,292333390,1
825,12304335399,0,0
826,8.84116E+11,287496024,1
827,22265811887,0,0
828,8.87899E+11,0,0
829,8.89894E+11,0,0
830,7.66653E+11,0,0
831,8.89349E+11,0,0
832,8.88182E+11,0,0
833,8.89661E+11,0,0
834,8.89894E+11,0,0
835,8.88793E+11,0,0
836,8.89296E+11,276891725,1
837,8.89894E+11,0,0
838,8.89349E+11,0,0
839,22265457269,0,0
840,8.88793E+11,0,0
841,22265929148,287725842,1
842,7.31236E+11,288634240,1
843,8.86228E+11,262321962,1
844,8.88631E+11,0,0
845,8.88864E+11,0,0
846,8.89661E+11,292342544,1
847,8.89895E+11,287770945,1
848,8.87758E+11,0,0
849,8.09395E+11,0,0
850,8.04892E+11,0,0
851,8.89894E+11,0,0
852,8.84116E+11,287865646,1
853,8.84116E+11,287496322,1
854,22265818305,268291349,1
855,8.89661E+11,0,0
856,8.87759E+11,0,0
857,8.89955E+11,0,0
858,4.00017E+11,0,0
859,8.89894E+11,0,0
860,8.87899E+11,260974722,1
861,8.879E+11,269250084,1
862,8.89296E+11,292333932,1
863,1.90151E+11,292347101,1
864,8.89297E+11,0,0
865,8.8096E+11,287893137,1
866,8.86227E+11,0,0
867,22265732595,0,0
868,7.66653E+11,0,0
869,8.87263E+11,0,0
870,8.89233E+11,276804768,1
871,8.89297E+11,280523486,1
872,8.88467E+11,0,0
873,8.88863E+11,289412950,1
874,7.25184E+11,284902777,1
875,8.88182E+11,0,0
876,8.89349E+11,0,0
877,8.879E+11,0,0
878,8.89955E+11,0,0
879,8.89234E+11,277654029,1
880,7.66653E+11,0,0
881,22265902578,0,0
882,8.84116E+11,0,0
883,8.88863E+11,282264154,1
884,8.84116E+11,0,0
885,8.879E+11,0,0
886,8.89349E+11,297369522,1
887,7.66653E+11,0,0
888,8.84116E+11,292334995,1
889,8.89349E+11,0,0
890,8.84116E+11,0,0
891,1.90404E+11,295897288,1
892,8.89894E+11,291984079,1
893,8.87899E+11,0,0
894,22265929131,284856416,1
895,8.89233E+11,0,0
896,22265818718,292332940,1
897,8.82956E+11,292342214,1
898,8.88794E+11,271348994,1
899,8.84116E+11,292340643,1
900,8.88863E+11,0,0
901,8.89234E+11,287009216,1
